format,category,revenue_2022,revenue_2023,change_pct
Paid Subscription,Streaming,9179.0,10149.7,10.6
Limited Tier Paid Subscription,Streaming,1063.0,1021.4,-3.9
On-Demand Streaming (Ad-Supported),Streaming,1196.0,1328.5,11.1
Other Ad-Supported Streaming,Streaming,164.0,178.3,8.7
Download Single,Digital Download,214.1,190.8,-10.9
Download Album,Digital Download,241.9,204.7,-15.4
Ringtones & Ringbacks,Digital Download,11.0,10.1,-8.2
CD,Physical,482.6,537.1,11.3
LP/EP,Physical,1224.4,1350.2,10.3
Music Video,Physical,11.3,10.7,-5.3
Synchronization Royalties,Other,382.5,410.9,7.4
