year,physical,digital_download,streaming,other,total
1980,4700,0,0,300,5000
1985,4600,0,0,300,4900
1990,7500,0,0,400,7900
1995,10200,0,0,500,10700
2000,11800,0,0,600,12400
2001,9900,100,0,500,10500
2002,8600,200,0,450,9250
2003,7800,300,0,400,8500
2004,7100,500,0,380,7980
2005,6400,700,0,360,7460
2006,5600,900,0,340,6840
2007,4700,1000,100,320,6120
2008,3900,1100,200,300,5500
2009,3300,1000,300,290,4890
2010,2500,1000,400,280,4180
2011,2100,1100,600,260,4060
2012,1900,1100,1000,250,4250
2013,1700,1000,1400,240,4340
2014,1500,900,1900,230,4530
2015,1400,800,2400,220,4820
2016,1200,600,3900,210,5910
2017,1100,500,5700,200,7500
2018,1100,400,7400,400,9300
2019,1100,350,8800,410,10660
2020,1000,270,10100,390,11760
2021,1200,230,12300,395,14125
2022,1700,467,13780,383,16330
2023,1900,406,14792,411,17509
